team_name,country
Manchester United,England
Real Madrid,Spain
Barcelona,Spain
Bayern Munich,Germany
Paris Saint-Germain,France
Juventus,Italy
Chelsea,England
Liverpool,England
Manchester City,England
Arsenal,England
Tottenham Hotspur,England
Borussia Dortmund,Germany
AC Milan,Italy
Inter Milan,Italy
Atletico Madrid,Spain
Sevilla,Spain
AS Roma,Italy
Napoli,Italy
Lazio,Italy
RB Leipzig,Germany
Ajax,Netherlands
Porto,Portugal
Benfica,Portugal
Sporting CP,Portugal
PSV Eindhoven,Netherlands
Feyenoord,Netherlands
Galatasaray,Turkey
Fenerbahçe,Turkey
Besiktas,Turkey
Celtic,Scotland
Rangers,Scotland
Olympique Lyonnais,France
Marseille,France
Monaco,France
Anderlecht,Belgium
Club Brugge,Belgium
Standard Liege,Belgium
Shakhtar Donetsk,Ukraine
Dynamo Kyiv,Ukraine
Zenit St Petersburg,Russia
Spartak Moscow,Russia
CSKA Moscow,Russia
Boca Juniors,Argentina
River Plate,Argentina
Santos,Brazil
Flamengo,Brazil
Palmeiras,Brazil
Corinthians,Brazil
São Paulo,Brazil
Grêmio,Brazil
Internacional,Brazil
Cruzeiro,Brazil
Atletico Mineiro,Brazil
Vasco da Gama,Brazil
America de Cali,Colombia
Atletico Nacional,Colombia
Millonarios,Colombia
Pachuca,Mexico
Club America,Mexico
Chivas,Mexico
Cruz Azul,Mexico
Pumas UNAM,Mexico
Tigres UANL,Mexico
Monterrey,Mexico
Al Ahly,Egypt
Zamalek,Egypt
Esperance,Tunisia
Raja Casablanca,Morocco
Wydad Casablanca,Morocco
Kaizer Chiefs,South Africa
Orlando Pirates,South Africa
Sundowns,South Africa
Al Hilal,Saudi Arabia
Al Nassr,Saudi Arabia
Al Ittihad,Saudi Arabia
Al Ain,United Arab Emirates
Al Jazira,United Arab Emirates
Al Sadd,Qatar
Al Duhail,Qatar
Persepolis,Iran
Esteghlal,Iran
Kawasaki Frontale,Japan
Urawa Red Diamonds,Japan
Yokohama F. Marinos,Japan
Gamba Osaka,Japan
FC Seoul,South Korea
Jeonbuk Hyundai Motors,South Korea
Suwon Samsung Bluewings,South Korea
Sydney FC,Australia
Melbourne Victory,Australia
Perth Glory,Australia
Wellington Phoenix,New Zealand
Club Libertad,Paraguay
Olimpia,Paraguay
Nacional,Uruguay
Penarol,Uruguay
Colo Colo,Chile
Universidad de Chile,Chile
Universidad Catolica,Chile
Sporting Cristal,Peru
Alianza Lima,Peru
Bolivar,Bolivia
The Strongest,Bolivia
